[2025-10-19 01:50:17] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --size-limit=5m --language yaml -- /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics-db
[2025-10-19 01:50:17] Log file was started late.
[2025-10-19 01:50:17] Using index-files script /opt/homebrew/Caskroom/codeql/2.23.3/codeql/yaml/tools/index-files.sh.
[2025-10-19 01:50:17] [PROGRESS] database index-files> Scanning for files in /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics...
[2025-10-19 01:50:17] Calling plumbing command: codeql resolve files --include-extension=.yaml --include-extension=.yml --size-limit=5m /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics --format=json
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/gaussian_grid_map...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/gaussian_grid_map/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/point_cloud_sampling...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/point_cloud_sampling/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/lidar_to_grid_map...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/lidar_to_grid_map/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/DistanceMap...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/DistanceMap/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/ndt_map...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/ndt_map/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/ray_casting_grid_map...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/ray_casting_grid_map/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/grid_map_lib...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/grid_map_lib/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/normal_vector_estimation...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/normal_vector_estimation/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/circle_fitting...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/circle_fitting/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/rectangle_fitting...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/rectangle_fitting/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/kmeans_clustering...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/Mapping/kmeans_clustering/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/data...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam/edge...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam/edge/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam/pose...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/GraphBasedSLAM/graphslam/pose/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/ICPMatching...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/ICPMatching/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/FastSLAM1...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/FastSLAM1/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/EKFSLAM...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/EKFSLAM/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/FastSLAM2...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/SLAM/FastSLAM2/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/stanley_control...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/stanley_control/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/pure_pursuit...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/pure_pursuit/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/lqr_speed_steer_control...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/lqr_speed_steer_control/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/cgmres_nmpc...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/cgmres_nmpc/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/model_predictive_speed_and_steer_control...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/model_predictive_speed_and_steer_control/__pycache__...
[2025-10-19 01:50:17] [PROGRESS] resolve files> Scanning /Users/arinmehta/Documents/GitHub/STT/Assignment-2/PythonRobotics/PathTracking/move_to_pose...
