Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
gunicorn,Bandit,UNKNOWN,291,No
gunicorn,CodeQL,UNKNOWN,99,No
gunicorn,Semgrep,CWE-319,33,No
gunicorn,Semgrep,CWE-326,1,No
gunicorn,Semgrep,CWE-327,2,No
gunicorn,Semgrep,CWE-353,4,No
gunicorn,Semgrep,CWE-706,3,No
gunicorn,Semgrep,CWE-79,1,Yes
gunicorn,Semgrep,CWE-798,1,Yes
gunicorn,Semgrep,CWE-95,1,No
manim,Bandit,UNKNOWN,66,No
manim,CodeQL,UNKNOWN,181,No
manim,Semgrep,CWE-502,2,Yes
manim,Semgrep,CWE-78,1,Yes
manim,Semgrep,CWE-939,1,No
manim,Semgrep,CWE-95,2,No
pythonrobotics,Bandit,UNKNOWN,224,No
pythonrobotics,CodeQL,UNKNOWN,3,No
pythonrobotics,Semgrep,CWE-353,1,No
pythonrobotics,Semgrep,CWE-939,1,No
